GEOID,assignment
060133141033,3
060133141051,3
060133141052,3
060133141061,3
060133141062,3
060133142001,3
060133142002,3
060133142003,3
060133150001,3
060133150002,3
060133160001,3
060133170001,3
060133170002,3
060133180001,3
060133180002,3
060133180003,3
060133190011,3
060133190012,3
060133190021,3
060133190022,3
060133190023,3
060133190024,3
060133200011,3
060133200012,3
060133200031,3
060133200041,3
060133200042,3
060133200043,3
060133200044,3
060133211011,3
060133211012,3
060133211013,3
060133211014,3
060133211021,3
060133211022,3
060133211023,3
060133211024,3
060133211031,3
060133211032,3
060133211033,3
060133212001,3
060133212002,3
060133212003,3
060133212004,3
060133220001,3
060133220002,4
060133220003,3
060133220004,4
060133220005,4
060133230001,4
060133230002,4
060133230003,4
060133230004,4
060133240021,4
060133240022,4
060133240023,3
060133240031,4
060133240032,4
060133240033,4
060133240041,3
060133240042,4
060133240043,4
060133250001,4
060133250002,4
060133250003,4
060133250004,4
060133250005,4
060133260001,4
060133260002,4
060133270011,3
060133270012,3
060133270021,3
060133270022,3
060133270023,3
060133280001,3
060133280002,3
060133290001,3
060133290002,3
060133290003,3
060133290004,3
060133300001,3
060133300002,3
060133300003,3
060133300004,3
060133310001,3
060133310002,3
060133310003,3
060133310004,4
060133310005,3
060133310006,3
060133320001,3
060133320002,3
060133320003,3
060133320004,3
060133320005,3
060133320006,3
060133320007,3
060133331011,4
060133331012,4
060133331013,4
060133331021,4
060133331022,4
060133331023,4
060133332001,3
060133332002,3
060133332003,3
060133332004,3
060133332005,4
060133340011,4
060133340012,4
060133340061,4
060133340062,4
060133340063,4
060133340071,4
060133340072,4
060133340073,4
060133340081,4
060133340082,4
060133342001,4
060133342002,4
060133342003,3
060133342004,4
060133342005,3
060133342006,4
060133350001,3
060133350002,3
060133350003,3
060133361011,3
060133361012,3
060133361013,3
060133361031,3
060133361032,3
060133361041,3
060133361042,3
060133362011,3
060133362012,3
060133362013,3
060133362021,3
060133362022,3
060133362023,3
060133371001,4
060133371002,3
060133372011,4
060133372012,3
060133372021,3
060133372022,4
060133372023,3
060133372024,4
060133373001,4
060133373002,4
060133373003,4
060133373004,4
060133373005,4
060133373006,4
060133381011,3
060133381012,3
060133381013,3
060133381014,4
060133381021,4
060133381022,4
060133382011,4
060133382012,4
060133382031,4
060133382032,4
060133382033,4
060133382034,4
060133382035,4
060133382041,4
060133382042,4
060133382043,4
060133382044,4
060133383011,4
060133383012,4
060133383021,4
060133383022,4
060133383023,4
060133390011,4
060133390012,4
060133390013,4
060133390031,4
060133390032,4
060133390041,4
060133390042,4
060133400011,4
060133400012,4
060133400013,4
060133400014,4
060133400031,4
060133400032,4
060133400033,4
060133400041,3
060133400042,4
060133400043,4
060133410001,3
060133410002,3
060133410003,3
060133430011,4
060133430012,4
060133430013,4
060133430014,4
060133430021,4
060133430022,4
060133430023,4
060133430031,4
060133430032,4
060133451011,4
060133451012,4
060133451013,4
060133451014,4
060133451021,4
060133451022,4
060133451023,4
060133451031,4
060133451032,4
060133451033,4
060133451034,4
060133451051,4
060133451052,4
060133451053,4
060133451054,4
060133451055,4
060133451111,4
060133451112,4
060133451113,4
060133451114,4
060133451121,4
